test_id,category,description,expected,actual,status,severity,run_id
"T1.1","T1.","Estimate API returns 200","200","200","PASS","P0","QA_973d7cac"
"T1.2_centralEstimateInr","T1.2","Field centralEstimateInr present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_lowEstimateInr","T1.2","Field lowEstimateInr present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_highEstimateInr","T1.2","Field highEstimateInr present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_centralRatePerSqft","T1.2","Field centralRatePerSqft present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_evidenceConfidence","T1.2","Field evidenceConfidence present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_locationMatch","T1.2","Field locationMatch present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_indicativeAllocation","T1.2","Field indicativeAllocation present","yes","yes","PASS","P1","QA_973d7cac"
"T1.2_provenance","T1.2","Field provenance present","yes","yes","PASS","P1","QA_973d7cac"
"T1.3","T1.","Methodology version = 1.0","1.0","1.0","PASS","P1","QA_973d7cac"
"T1.4","T1.","Location match = DIRECT","DIRECT","DIRECT","PASS","P1","QA_973d7cac"
"T1.5","T1.","Low < Central < High","low<central<high","7426080<8899000<10872960","PASS","P0","QA_973d7cac"
"T2.1","T2.","Track API returns 200","200","200","PASS","P0","QA_973d7cac"
"T2.2","T2.","Tracking status = active","active","active","PASS","P0","QA_973d7cac"
"T2.3","T2.","Estimate attached","present","present","PASS","P0","QA_973d7cac"
"T2.3a","T2.","Estimate central > 0",">0","8899000","PASS","P0","QA_973d7cac"
"T2.3b","T2.","Methodology version preserved","1.0","1.0","PASS","P1","QA_973d7cac"
"T2.3c","T2.","Location match preserved","DIRECT","DIRECT","PASS","P1","QA_973d7cac"
"T2.3d","T2.","Evidence confidence preserved","HIGH","HIGH","PASS","P1","QA_973d7cac"
"T2.4","T2.","Budget central estimate > 0",">0","8899000","PASS","P0","QA_973d7cac"
"T2.5","T2.","Initial expense count = 0","0","0","PASS","P0","QA_973d7cac"
"T3.0","T3.","Initial expense count = 0","0","0","PASS","P0","QA_973d7cac"
"T3.1","T3.","Create: Cement 500 bags","200","200","PASS","P0","QA_973d7cac"
"T3.1_a","T3.1","Amount correct","150000","150000","PASS","P1","QA_973d7cac"
"T3.2","T3.","Create: Mason wages Month 1","200","200","PASS","P0","QA_973d7cac"
"T3.2_a","T3.2","Amount correct","80000","80000","PASS","P1","QA_973d7cac"
"T3.3","T3.","Create: Structural engineer","200","200","PASS","P0","QA_973d7cac"
"T3.3_a","T3.3","Amount correct","25000","25000","PASS","P1","QA_973d7cac"
"T3.4","T3.","Create: Material transport","200","200","PASS","P0","QA_973d7cac"
"T3.4_a","T3.4","Amount correct","12000","12000","PASS","P1","QA_973d7cac"
"T3.5","T3.","Create: Electrical wiring","200","200","PASS","P0","QA_973d7cac"
"T3.5_a","T3.5","Amount correct","35000","35000","PASS","P1","QA_973d7cac"
"T3.6","T3.","Total expenses match","302000","302000","PASS","P0","QA_973d7cac"
"T3.7","T3.","Expense count match","5","5","PASS","P0","QA_973d7cac"
"T4.1","T4.","Reject negative","400","400","PASS","P1","QA_973d7cac"
"T4.2","T4.","Reject zero","400","400","PASS","P1","QA_973d7cac"
"T4.3","T4.","Reject missing title","400","400","PASS","P1","QA_973d7cac"
"T4.4","T4.","Reject invalid type","400","400","PASS","P1","QA_973d7cac"
"T4.5","T4.","Reject excessive amount","400","400","PASS","P1","QA_973d7cac"
"T5.1","T5.","Budget consumed % correct","3","3","PASS","P0","QA_973d7cac"
"T5.2","T5.","Category sum = total","302000","302000","PASS","P0","QA_973d7cac"
"T5.3","T5.","Variance correct","-8597000","-8597000","PASS","P0","QA_973d7cac"
"T6.1","T6.","Mark completed","200","200","PASS","P0","QA_973d7cac"
"T6.2","T6.","Status = completed","completed","completed","PASS","P0","QA_973d7cac"
"T6.3","T6.","Final cost = 4800000","4800000","4800000","PASS","P0","QA_973d7cac"
"T6.4","T6.","Validation = document_supported","document_supported","document_supported","PASS","P1","QA_973d7cac"
"T6.5","T6.","Completion date set","present","present","PASS","P1","QA_973d7cac"
"T7.1","T7.","Absolute variance correct","-4099000","-4099000","PASS","P0","QA_973d7cac"
"T7.2","T7.","Percentage variance correct","-46","-46","PASS","P0","QA_973d7cac"
"T8_unverified","T8","Set to unverified","200","200","PASS","P1","QA_973d7cac"
"T8_unverified_v","T8","Value matches","unverified","unverified","PASS","P1","QA_973d7cac"
"T8_user_reported","T8","Set to user_reported","200","200","PASS","P1","QA_973d7cac"
"T8_user_reported_v","T8","Value matches","user_reported","user_reported","PASS","P1","QA_973d7cac"
"T8_document_supported","T8","Set to document_supported","200","200","PASS","P1","QA_973d7cac"
"T8_document_supported_v","T8","Value matches","document_supported","document_supported","PASS","P1","QA_973d7cac"
"T8_independently_verified","T8","Set to independently_verified","200","200","PASS","P1","QA_973d7cac"
"T8_independently_verified_v","T8","Value matches","independently_verified","independently_verified","PASS","P1","QA_973d7cac"
"T8_auto","T8","No auto-upgrade","unverified","unverified","PASS","P1","QA_973d7cac"
"T9.1","T9.","Metrics null with <3 projects","null","null","PASS","P1","QA_973d7cac"
"T9.2","T9.","Total projects > 0",">0","7","PASS","P1","QA_973d7cac"
"T9.3","T9.","Completed with final cost > 0",">0","2","PASS","P1","QA_973d7cac"
"T10.1","T10","JSON export 200","200","200","PASS","P0","QA_973d7cac"
"T10.2","T10","Test project in export","present","present","PASS","P0","QA_973d7cac"
"T10.3","T10","Estimate reconciles","8899000","8899000","PASS","P0","QA_973d7cac"
"T10.4","T10","Final cost reconciles","4800000","4800000","PASS","P0","QA_973d7cac"
